"","X","PATENT","GYEAR","GDATE","APPYEAR","COUNTRY","POSTATE","ASSIGNEE","ASSCODE","CLAIMS","NCLASS","CAT","SUBCAT","CMADE","CRECEIVE","RATIOCIT","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","SELFCTUB","SELFCTLB","SECDUPBD","SECDLWBD","logCRECEIVE","CLAIMSORIGINAL"
"1",1,5491319,1996,13192,1994,"US","NY",280070,2,4,219,4,49,9,3,0.8889,0.4444,0.8438,0.6667,14.4444,0.375,0.3333,0,0,1.09861228866811,3.3752
"2",2,5423806,1995,12947,1993,"US","MN",365520,2,26,606,3,32,29,7,1,0.449,0.1902,3.8571,4.3793,0,0,0.1667,0.1429,1.94591014905531,4.9452
"3",3,5418162,1995,12926,1992,"US","GA",156735,2,15,435,3,33,3,3,1,0,0,3.6667,5.6667,0,0,0,0,1.09861228866811,0
"4",4,5392884,1995,12842,1993,"JP","",399775,3,6,188,5,53,5,1,0.8,0,0.625,2,19,0,0,0,0,0,3.75
"5",5,5390615,1995,12835,1993,"JP","",77725,3,14,112,6,63,5,2,1,0,0,3.5,4,0.4,0.4,0.5,0.5,0.693147180559945,0
"6",6,5644593,1997,13696,1994,"US","MA",372665,2,36,375,2,21,20,7,1,0.7347,0.725,1.5714,5.6,0,0,0,0,1.94591014905531,26.1
"7",7,5555881,1996,13409,1994,"US","MI",9860,2,5,128,3,32,39,3,1,0.4444,0.3498,2.3333,9.5385,0,0,0,0,1.09861228866811,1.749
"8",8,5536983,1996,13346,1994,"JP","",252905,3,7,310,4,45,1,6,1,0.4444,0,2.5,4,1,1,0,0,1.79175946922805,0
"9",9,5451900,1995,13045,1994,"JP","",581270,3,19,330,4,41,3,1,1,0,0.4444,3,14,0,0,0,0,0,8.4436
"10",10,5602765,1997,13556,1994,"JP","",403735,3,13,708,2,22,5,4,1,0.75,0.72,2,8.8,0.2,0.2,0.25,0.25,1.38629436111989,9.36
"11",11,5477229,1995,13136,1993,"FR","",16980,3,17,342,2,21,5,2,1,0,0,3,3.4,0,0,0,0,0.693147180559945,0
"12",12,5485274,1996,13164,1994,"DE","",339735,3,9,356,4,43,3,3,1,0.4444,0,2.6667,2.6667,0.6667,0.6667,0,0,1.09861228866811,0
"13",13,5708473,1998,13892,1994,"US","CA",260265,2,17,348,4,49,7,1,1,0,0.449,2,5.7143,0,0,0,0,0,7.633
"14",14,5815457,1998,14151,1996,"IT","",507680,3,30,365,2,24,4,1,1,0,0.375,1,4.75,0,0,0,0,0,11.25
"15",15,5631864,1997,13654,1995,"US","CA",721156,2,29,365,2,24,4,2,1,0,0,2.5,3.5,0,0,0,0,0.693147180559945,0
"16",16,5495400,1996,13206,1995,"US","NH",NA,1,20,362,4,42,16,4,1,0.375,0.5078,1.75,7.5,NA,NA,NA,NA,1.38629436111989,10.156
"17",17,5576324,1996,13472,1994,"JP","",320630,3,7,514,3,31,0,1,NA,0,NA,2,NA,NA,NA,0,0,0,NA
"18",18,5385293,1995,12814,1993,"JP","",358975,3,5,229,6,68,9,1,0.4444,0,0.375,3,32.3333,0,0,0,0,0,1.875
"19",19,5568854,1996,13451,1994,"GB","",457005,2,4,194,5,59,14,1,1,0,0.2449,3,11,0.0833,0.0714,0,0,0,0.9796
"20",20,5737278,1998,13976,1996,"US","CA",340135,2,11,367,2,21,10,1,1,0,0.58,2,5.2,0.8889,0.8,0,0,0,6.38
"21",21,5734375,1998,13969,1995,"US","TX",755619,2,34,345,2,23,8,3,1,0,0.7188,2,9.625,0,0,1,0.6667,1.09861228866811,24.4392
"22",22,5377456,1995,12786,1992,"US","OK",109550,2,34,451,5,51,3,1,0.6667,0,0.5,3,15,0,0,0,0,0,17
"23",23,5430879,1995,12968,1993,"JP","",581270,3,3,710,2,22,15,4,1,0,0,1.75,8.4667,0.0667,0.0667,0,0,1.38629436111989,0
